abato	аббат.
susuri	vn шелестеть, шуршать;
sutano	церк.  сутана, ряса.
suvereno	I суверен, суверенный (или верховный) правитель, носитель верховной власти.  ///  II соверен (денежная единица).
svaga	расплывчатый, размытый, неясный, неотчётливый (= malpreciza).
svarmo	прям., перен. рой; (сутолочная) толпа, (кишащее) скопище, сборище, множество.
svastiko	свастика (обычно об индуистском и буддистском символе);
svati	vt (по)сватать.
svedo	швед;
svelta	стройный;
sveni	vn 1. упасть в обморок, упасть без сознания;  (по)терять сознание, лишиться сознания (временно); 2. перен.  исчезнуть, пропасть, рассеяться, развеяться, растаять;  замереть (о звуке); 3. сомнит. ;  инф.  висеть, зависнуть, подвиснуть;
svetero	свитер.
svingi	vt махать, взмахнуть, размахнуть, размахивать, помахивать;
sxablono	1. прям., перен. шаблон; прям., перен. трафарет; перен. штамп; 2. см. modelfolio, papermodelo;
sxafo	1. овца, баран; 2. maj;  астр.  Овен (созвездие, знак зодиака);
sxaho	шах (титул монарха в Иране).
sxajni	vn (по)казаться, представляться (тж. в безличных оборотах); (по)мерещиться, (по)чудиться.
sxakalo	зоол.  шакал (тж. перен.).
sxako	шахм.  1. шах (королю); 2. шахматы (игра  = sxakoj);
sxakto	шахта;
sxalmo	1. соломинка, трубочка (для питья  = sucxosxalmo);  2. муз.  (пастушья) свирель, дудка;  3. тех.  паяльная трубка;  ствол газовой горелки;  4. см.  kulmo.
sxalo	шаль.
sxalti	vt включить (электроприбор, освещение, радио, зажигание автомобиля и т.п.);
sxalupo	мор. шлюп, катер, баркас;
sxamo	замша.
sxampuo	шампунь;
sxanceli	vt прям. , перен.  (по)колебать, (рас)шатать, пошатнуть, потрясти до основания;
sxanco	(je io) шанс (на что-л.).
sxangxi	vt 1. менять, поменять, изменить, сменить, переменить;  променять; 2. превратить (= aliformigi, transformi);
sxankro	мед. шанкр;
sxarado	шарада.
sxargo	воен. , эл.  заряд;
sxargxo	прям. , перен.  груз, нагрузка; перен.  бремя, обуза;
sxarko	ихт.  акула.
sxasxliko	кул. шашлык.
sxati	vt 1. (высоко) ценить, любить; 2. любить, предпочитать, испытывать охоту, испытывать приязнь;
sxauxmo	пена;
sxelko	подтяжки, помочи.
sxelo	1. кора, корка, кожура, кожица;  скорлупа;  шелуха;  шкурка (фрукта, овоща); 2. тех. , физ. , инф.  оболочка; 3. мор. , ав.  обшивка (= hulo);
sxenoprazo	бот. шнит-лук, лук-резанец, лук-скорода.
sxerci	шутить, пошутить; подшутить.
sxi	pers pron она.
sxildo	1. щит (тж. перен.); 2. тех.  щит, щиток; 3. геол.  щит, платформа; 4. вывеска;
sxilingo	шиллинг (денежная единица в ряде стран).
SXillero	Шиллер (немецкий поэт и драматург).
sximo	бот., бакт.  плесень, плесневой грибок.
sxindo	1. стр.  дрань, дранка, гонт (одна дощечка);  2. спец.  гонт (геральдическая фигура);
sxinko	кул.  ветчина, свиной окорок.
sxipo	корабль, судно;
sxiri	vt рвать, порвать, разорвать;  сорвать;  вырвать;
sxirmi	vt 1. (de io, kontraux io) заслонять, укрывать, прикрывать, защищать, охранять, загораживать, ограждать (от чего-л.); 2. физ. , тех.  ослаблять действие, экранировать;
sxlimo	1. ил;  донные отложения;  2. мед.  грязи (целебные, лечебные  = kuracosxlimo);
sxlosi	vt запереть;  закрыть на ключ, на замок;
sxmaci	vn чавкать, хлюпать (тж. о грязи, глине и т.п.).
sxminko	грим; тени для лица; косметическая краска;
sxmiri	vt (на)мазать;  обмазать, смазать (мазью, жиром и т.п.);
sxnuro	1. верёвка;  шнур;  мор.  снасть; 2. геом.  хорда (= kordo.3);
sxoforo	шофёр;
sxoki	vt 1. шокировать, (по)коробить, неприятно поразить, потрясти; 2. мед. привести в шоковое состояние;
sxoseo	1. шоссе (насыпная транспортная дорога с покрытием), шоссейная дорога; 2. проезжая часть (= veturejo);
sxoveli	vt сгребать (лопатой), черпать (совкообразным черпаком).
sxovi	vt совать, пихать; двигать (толкая по какой-л. поверхности).
sxovinismo	шовинизм.
sxovinisto	шовинист;
sxpari	vt 1. сберегать, копить, экономить, сохранять;  отложить (сбережения); 2. помочь избежать, избавить (от чего-л. утомительного, неприятного);
sxpato	1. лопата, заступ (= platfosilo); 2. воен. сошник; 3. мор. лапа якоря;
sxpini	1. vt текс.  прясть, сучить;  плести (паутину); 2. перен. , см.  ronroni;
sxpruci	vn брызгать, прыскать, бить ключом (тж. перен.); сыпаться (об искрах).
sxranko	шкаф.
sxrapnelo	воен. шрапнель (снаряд = kuglobuso).
sxrauxbo	винт.
sxrumpi	vn сморщиться, съёжиться, сжаться; сесть, дать усадку (о ткани);
sxtalo	сталь;
sxtato	1. государство (государственный аппарат, государственная машина;  форма государственного правления); 2. штат (территориально-административная единица федерации); 3. редк. ;  ист.  управляемая территория, область; 4. maj, pl;  редк. , см.  Statoj;  5. уст. , см.  regno;
sxteli	vt (у)красть, (с)воровать, (с)тащить, похитить;  угнать (транспортное средство);
sxtipo	1. полено, колода, обрубок бревна, деревянная чурка, чурбан; 2. см.  sxtipkapulo;
sxtofo	1. текс.  ткань, материя; 2. уст. , см.  materialo;  3. уст. , см.  histo;
sxtono	камень;
sxtopi	vt 1. заткнуть, закупорить;  законопатить;  создать затор;  забить, набить (до отказа); 2. см.  fadenfliki;
sxtormo	мет. шторм, буря;
sxtrumpo	чулок (= longa sxtrumpo); чулок до колен, гольф (= mallonga sxtrumpo, kurta sxtrumpo, gxisgenua sxtrumpo).
sxtupo	1. разн.  ступень;  ступенька;  уступ;  подножка (вагона, кареты и т.п.); 2. эл.  каскад (многокаскадного усилителя, выпрямителя и т.п.);  3. оч.сомнит. , см.  eskalono;
sxuldi	vt быть должным (иметь долг, быть должником); быть обязанным (иметь моральное обязательство).
sxultro	плечо (тж. о похожей части предмета).
sxuo	1. ботинок (не закрывающий лодыжку), полуботинок, башмак, туфля; 2. тех.  башмак;  подошва;
sxuti	vt 1. сыпать, ссыпать, насыпать, насыпать; 2. инф.  (с)качать, (пере)качать, скачивать, перекачивать (с сервера;  на сервер);
sxvebi	vn 1. парить; реять; висеть в воздухе, витать; 2. физ. находиться во взвешенном состоянии (не всплывать и не тонуть); 3. перен. находиться в подвешенном состоянии, находиться во взвешенном состоянии (быть неясным, неопределённым);
sxveli	vn пухнуть, опухать, распухать;  набухать, вздуваться, раздуваться;  вспучиваться;
sxvito	пот, испарина;
tabako	1. бот.  табак культурный, табак курительный (nicotiana tabucum, растение рода nicotiana;  в широком смысле – тж. ряд других растений этого рода, используемых для получения табака); 2. табак (высушенные листья этих растений, используемые для курения, жевания, нюханья);
tabano	энт. слепень;
tabelo	1. таблица;  табель;  расписание;  график (в виде таблицы); 2. ист.  табличка (с древним текстом), скрижаль; 3. ист.  дощечка для письма (вощёная  = (vaksita) (skrib)tabuleto);  4. инф.  таблица, массив;
tablo	стол (мебель; тж. перен. – о стоящей на столе еде).
tabulo	1. разн.  доска; 2. pl подмостки, сцена (= scenejo);  3. см.  tabelo .3;  4. разг. , см.  skio;  5. редк.  филёнка (= panelo);
tabuo	табу, запрет;
tabureto	табурет, табуретка.
tacxmento	1. воен.  отряд; 2. (в библейских текстах) воинство;
tafto	текс.  тафта.
tago	день.
tajdo	прилив и отлив (периодическое явление), приливно-отливное движение моря, приливно-отливные колебания моря;
tajli	vt 1. обтёсывать, гранить; резать (камень и т.п.); 2. кроить, выкраивать (одежду); 2. кройка, выкраивание;
tajloro	Σ! 1¶  портной. 2¶ maj. Тейлор (английская фамилия, в том числе американского инженера-экономиста, основателя тейлоризма).
tajpi	vt (на)печатать (на машинке); набрать текст (с помощью клавиатуры);
taksi	vt 1. оценивать, оценить, давать оценку;  назначать, определять, устанавливать цену;  спец.  таксировать; 2. облагать специальным налогом;
taksio	I такси.  ///  II см. tropismo.
taksuso	бот.  тисс.
taktiko	тактика.
takto	1. муз.  такт;  темп;  ритм;
talento	1. талант, дарование, одарённость; 2. см.  talanto;
talero	ист.  талер (немецкая денежная единица).
talio	Σ! 1. талия;  2. мор.  часть корабля между баком и ютом, средняя часть (корпуса) корабля. // хим.  таллий (= taliumo). // ~a миф. maj.Талия (муза комедии;  одна из граций).
talismano	талисман, ладанка.
talko	мин.  тальк.
talmudo	рел.  талмуд.
talpo	зоол.  крот.
tamburino	1. муз.  бубен;  2. редк. ;  муз.  тамбурин, провансальский барабан (= provenca tamburo);  3. уст. , см.  brodotamburo.
tamburo	1. муз. , тех.  барабан; 2. архит.  сегмент колонны;
tamen	konj однако; тем не менее; всё же, всё-таки.
tamtamo	муз.  тамтам; 2. перен.  громко (раз)рекламировать.
tandemo	тандем (двухместный велосипед; экипаж, запряжённый парой лошадей гуськом).
tangento	мат. тангенс.
tani	vt дубить (кожу, шкуру);
tanino	хим. танин (= vegetajxa tananto).
tanko	воен. танк;
tantalo	Σ! 1¶  хим.  тантал. 2¶  миф. maj.  Тантал (герой др.-греч. мифологии).
tapeto	1. обои;  обивка, обивочный материал (для стен);  2. редк. , см.  murtapisxo;
tapioko	тапиока (крупа).
tapiro	зоол. тапир.
tapisxo	ковёр (тж. перен.).
tarantelo	муз. тарантелла (танец, музыка).
tarantulo	зоол.  тарантул.
tarifo	тариф.
taro	Σ! вес упаковки, вес тары. // бот.  таро (= mangxebla kolokazio).
taroko	карта таро.
tartaro	иногда maj. миф.  тартар, ад.
tasko	задача, задание.
taso	чашка.
tasxo	сума, сумка
tatui	vt татуировать; вытатуировать, выколоть; (собственноручно).
tauxgi	vn (при)годиться, быть (при)годным.
tauxzi	vt 1. трепать, ворошить (приводить в беспорядок), ерошить, всклокочивать, мять; 2. перен. (по)трепать, (по)мять (грубо обойтись, грубо обращаться);
tavolo	разн.  слой, пласт.
teamo	1. команда (группа спортсменов или игроков); 2. см. skipo;
teatro	театр.
tedi	vt (iun = al iu) надоедать, докучать, донимать; наскучить (кому-л.).
tegmento	крыша; кровля; перен.  кров.
tego	чехол;  перен.  покров;
tegolo	черепица (одна штука).
tehxniko	см. tekniko.
teismo	филос. теизм (вера в Бога как в создавшую мир и постоянно управляющую им личность);
teisto	филос. теист;
tekniko	техника.
teknologo	технолог.
teko	4. собрание (документов, бумаг и т.п.; в широком смысле тж. предмет мебели или помещение, в котором хранится это собрание).
teksi	vt 1. ткать;  плести (сеть); 2. перен.  ткать, плести (разрабатывать что-л. запутанное);
teksto	разн.  текст.
tektono	I бот. тектона;
tele-	1. словообразовательный элемент теле- со значением «осуществляемый на расстоянии»; 2. тех. приставка теле- с тем же значением.
telefono	телефон (аппарат).
telegrafo	телеграф (аппарат).
telegramo	телеграмма.
telepatio	телепатия.
telero	тарелка.
teleskopo	1. астр.  телескоп;  2. телескопическая подзорная труба;
televidi	vt смотреть по телевизору, смотреть по телевидению; смотреть телевизор;
televizio	см. televido.
Temisa	миф.  Фемида (др.-греч. богиня правосудия).
temo	Σ! разн.  тема. // ист.  фема (территориально-административная единица Византийской империи, аналогичная провинции)
temperamento	псих.  темперамент;
temperaturo	температура.
tempesto	мет. одиннадцатибальная буря, одиннадцатибальный шторм, жестокий шторм; перен. (страшная) буря;
tempio	анат.  висок.
templo	храм.
tempo	1. время; 2. см.  tenso;  3. см.  taktero;  4. см.  ritmo;
tenajlo	клещи, щипцы; кусачки; плоскогубцы; круглогубцы; пассатижи;
tendenco	тенденция.
tendeno	1. анат.  сухожилие; 2. тетива (= pafarka sxnuro).
tendo	1. палатка;  ист. , поэт.  шатёр; 2. анат.  намёт (перепончатый покров или перепончатая перегородка);
tenebro	поэт. мрак, (непроглядная) тьма (= mallumo);
tenera	нежный, ласковый;
teni	vt 1. держать; 2. вести (дневник, журнал, бухгалтерские книги);
tenio	Σ! зоол.  1. ленточный гельминт, цепень, солитёр;  2. разг. , см.  cestodoз. // анат.  лента, полоска.
teniso	спорт. теннис;
tenoro	1. муз.  тенор (голос);  2. редк. , см.  ~ulo;
tenti	vt искушать, соблазнять, прельщать, обольщать; вводить в искушение, в соблазн.
teo	бот., кул.  чай (растение  = tearbo, cxinia kamelio; сушёные листья этого растения; напиток).
Teodoro	Теодор, Теодоро, Феодор, Фёдор (муж. имя);
teokrato	приверженец теократии;
teologo	теолог, богослов.
teoremo	теорема.
teorio	теория;
tepida	полутёплый, тепловатый, умеренно тёплый, слегка тёплый, еле тёплый, едва тёплый, чуть тёплый, прохладный, не очень тёплый и не очень холодный;
terapeuxto	мед.  терапевт (= terapiisto).
terapio	мед.  терапия (лечение, лечебный метод).
teraso	1. разн.  терраса;  2. спец.  узкая оконечность (геральдическая фигура);
terceto	1. лит.  терцет (= trio.4);  2. муз.  терцет, трио (= triteto).
tercio	1. муз.  терция (= trito);  2. спорт.  третья позиция (в фехтовании);  3. карт.  терц (в некоторых играх – идущие подряд три карты одной масти); 4. церк.  третий час (совершаемое по часослову богослужение).
terebinto	1. бот.  терпентиновое дерево, скипидарное дерево (= terebintarbo);  2. см.  terebintino.
tereno	1. участок земли, участок территории, участок местности; земельный участок (для любых нужд); местность; 2. перен. поле (деятельности), поприще, область;
teritorio	территория.
termino	Σ! 1¶  термин;
terminologo	терминолог;
termito	Σ! энт.  термит. // хим.  термит.
termo-	научн., тех. приставка термо- со значением «тепло», «тепловой», «термальный», «термический»:
termometro	термометр, градусник.
terni	vn чихнуть, чихать.
tero	Σ! 1¶  разн.  земля (но не о территориально-административной единице!). 2¶ астр.maj.  Земля (планета солнечной системы). // ~a  миф. maj.  Терра (античная богиная земли).
teroro	террор;
teruro	1. ужас; 2. перен.  гроза (кто-л. внушающий ужас);
testamento	завещание, завет.
testiko	анат.  семенная железа, семенник, яичко (= orkido, разг.  cxurovo).
testo	тест, испытание, проверка;
testudo	1. зоол.  черепаха; 2. ист. , воен.  «черепаха» (деревянный навес при осадных работах или навес из щитов, сомкнутых над головами для прикрытия атакующих);
tetano	1. мед.  мышечная судорога, тетанус;  2. см.  tetanio;  3. редк. , см.  tetanoso.
tetrao	редк., см. bonazio.
tetro	Σ! орн.  тетерев.
tezo	1. тезис (тж. филос.), положение;  2. см.  disertajxo, disertacio.
tia	korelativa pron-adj такой, таков.
tial	korelativa adv поэтому, потому, оттого.
tiam	korelativa adv 1. тогда; 2. (для усиления связи главного предложения с придаточным, выражающим условие) то, тогда, то тогда;
tiaro	тиара (головной убор древних персидских и ассирийских царей; головной убор папы римского);
tibio	анат.  большая берцовая кость;
tie	korelativa adv там.
tiel	1. korelativa adv так; 2. konj: mi preskaux falas, ~ laca mi estas я почти падаю, так я устал;
ties	korelativa pron 1. того (тому принадлежащий); 2. того, последнего, его (принадлежащий упомянутому в предыдущем предложении, но не субъекту выраженного в этом предложении действия);
tifo	мед.  тиф.
tigo	1. бот. стебель; 2. ненарезная часть стержня (болта, винта, шпильки); хвостовик, хвостовая часть клинка (ножа, меча и т.п.); стебло, стебель, стержень, трубка (ключа); ножка (бокала, рюмки);
tigro	зоол.  тигр.
tikli	vt прям. , перен.  щекотать; 2. перен.  деликатный, щекотливый (требующий осторожного обращения);
tilio	бот.  липа.
timi	vt бояться, страшиться, пугаться, опасаться; трусить.
timiano	бот. тимьян, чабрец;
timono	дышло, оглобля.
tindro	трут.
tineo	энт.  моль.
tinko	ихт.  линь.
tinkturo	1. краситель, краска (для окрашивания путём пропитки); 2. фарм.  настойка, тинктура;
tino	бадья, ушат, кадка, деревянная лохань, деревянный чан.
tinti	vn звякать, бряцать, бренчать.
tio	korelativa pron то, это.
tiom	korelativa adv столько;  настолько, столь;
tipo	1. тип (образец);  2. зоол.  тип;  3. лит.  типаж, образ;  4. полигр. , инф.  литера;  глиф;  (= prestipo);
tipografo	типографщик, типограф, печатник;
tirano	Σ! 1¶  тиран.   2¶  гп. maj.  Тирана (столица Албании).
tiri	Σ! vt тянуть, тащить, влечь;  вытаскивать;  извлекать. // гп.  1. maj. Тир (древний финикийский город);  2. maj. Сур (современный город в Ливане на месте древнего города Тир). Δ
titano	Σ! 1¶  1. иногда maj;  миф.  титан;  перен.  титан, исполин, гигант;  2. хим.  титан.  2¶  миф. , астр.  Титан (одно из имён Гелиоса;  спутник Сатурна).
titolo	1. титул, звание;  2. заглавие, заголовок;  название (книги, фильма и т.п.);
tiu	korelativa pron, korelativa pron-adj 1. тот, та, то;  этот, эта, это; 2. употребляется для избежания повтора существительного : doktrino bazita sur ~ de Platono учение, основанное на учении Платона;
togo	тога.
toleri	vt терпеть, выносить, сносить, переносить (что-л., кого-л.);
tolo	1. текс.  полотно, холст; 2. жив.  холст (подготовленный для писания на нём картины);
tomato	бот., кул.  помидор, томат (растение; плод этого растения).
tombako	1. тех.  томпак, красная латунь;  2. перен.  самоварное золото;  дешёвая грубая подделка.
tombo	могила.
tombolo	вещевая лотерея.
tondi	vt стричь, постричь, постригать.
tondri	vn 1. безл.  греметь, громыхать, грохотать (о громе); 2. греметь, громыхать, грохотать (сильно шуметь);
tonelo	мор. регистровая тонна;
tono	1. разн.  тон; 2. см.  tonalo;  3. см.  toniko;
tonsilo	анат. 1. миндалина (скопление лимфоидной ткани); 2. нёбная миндалина, разг. гланда (= palata tonsilo);
tonsuro	1. сострижение волос в знак траура;  2. церк.  тонзура;
topazo	мин. топаз;
topografo	топограф.
torcxo	факел; перен.  светоч.
tordi	vt вить, свивать, сучить, скручивать, крутить (деформировать или изготавливать скручиванием);
toreadoro	см.  toreisto.
torento	прям. , перен.  поток;
torfo	мин.  торф.
torni	vt тех.  1. точить, вытачивать, обтачивать (на токарном станке);  2. выделывать, формовать, лепить (на гончарном круге);  3. перен.  оттачивать, тщательно обрабатывать;
tornistro	ранец; рюкзак.
torpedo	1. воен.  торпеда;  2. ихт.  электрический скат, гнюс;
torso	анат., иск.  торс, туловище.
torto	кул.  торт; пирог (сладкий, в виде основы из теста с нанесённым на неё вареньем, кремом и т.п.).
torturo	прям., перен.  пытка, истязание; turmenti.
tosto	тост; спич.
totala	тотальный, полный; эк. валовой;
tra	prep 1. сквозь, через (в этом значении иногда может переводиться тж. предлогами  по и  в); 2. в течение, в продолжение, на протяжении (= dum.1);
trabo	1. бревно;  балка, брус;  2. спец.  пояс, балка (геральдическая фигура);  3. текс.  вал, валик (общее название некоторых частей ткацкого станка, в частности, скало  = glitotrabo и навоя  = rultrabo);  4. см.  plugiltrabo;  5. см.  bauxo;
tradicio	традиция.
traduki	vt перевести, переводить (на другой язык).
trafi	vt 1. попасть в, поразить (цель чем-л.); 2. попасть в, поразить (цель, – о чём-л.);  настигнуть, настичь, застигнуть, застичь; 3. натолкнуться на;  нарваться на;  встретить (случайно); 4. попасть (куда-л.), оказаться, очутиться (где-л.);
trafiko	1. (транспортное) движение, (транспортное) сообщение, транспортный поток, транспорт, перевозки; 2. тел. связь, сообщение, обмен информацией; информационный поток; инф. трафик;
tragedio	трагедия.
tragika	трагический, трагичный;
tragikomedio	трагикомедия.
trahxeo	см. trakeo.
trajno	1. поезд; эшелон; 2. обоз, караван, транспорт, вереница, цепочка, колонна (следующих друг за другом транспортных средств); 3. перен. вереница, череда;
trajto	черта (характерная).
trakeo	анат., зоол., бот.  трахея
trako	I 1. ж.-д. (железнодорожная) колея, (рельсовая) колея; 2. ав. маршрут полёта, линия полёта, направление полёта, курс (спроектированные на земную поверхность, обозначенные на карте); 3. тех., инф., рад., кин. дорожка (на магнитной ленте, киноленте, лазерном диске).  ///  II ист. фракиец;
traktato	1. юр.  (международное) соглашение, (международный) договор, трактат;  2. см.  traktajxo.
trakti	vt 1. вести переговоры, договариваться, обговаривать, обсуждать; 2. обходиться, обращаться, поступать (как-л. с кем-л. или чем-л.);  3. трактовать, рассматривать (тему, вопрос и т.п.);  4. тех.  воздействовать на, обрабатывать;  мед.  воздействовать на;  инф.  обрабатывать;
traktoro	трактор; тягач;
tramo	1. трамвай;  2. уст. , см.  tramrelo;
trampo	1. (бездомный) оборванец, (бездомный) голодранец, (нищий) бродяга, бомж; 2. мор., ав. трамп, трамповое судно, трамповый самолёт (грузовое судно или транспортный самолёт без определённого маршрута, вне линии);
trancxeo	1. воен.  траншея, окоп;  2. стр.  траншея, ров, выемка в земле.
trancxi	vt 1. резать; 2. геом.  резрезать, рассекать, пересекать;  3. спорт.  срезать (нанести режущий удар по мячу, шару и т.п.);  4. карт.  снять (карты, карточную колоду);
trankvila	спокойный; невозмутимый.
trans	prep через, за (по другую сторону или в этом направлении).
transepto	архит. поперечный неф, трансепт.
transfuzi	vt мед. переливать (кровь и т.п.);
transistoro	1. эл., тел. транзистор; 2. разг. транзистор, транзисторный приёмник (= transistora ricevilo);
transitiva	1. грам.  переходный (= transira.3); 2. мат.  транзитивный;
transito	1. транзит; 2. мед., физиол. транзит, пассаж, прохождение (пищи через желудочно-кишечный тракт);
transversa	поперечный.
trapezo	1. геом. , спорт.  трапеция;  2. анат.  трапециевидная мышца;  3. анат.  кость-трапеция;
travestii	vt 1. театр.  переодеть, перерядить, нарядить, обрядить, рядить, костюмировать; 2. лит.  (с)пародировать, переделать на комический лад, карикатурно (с)имитировать, исказить в шутку;
tre	(в PV и PIV трактуется как непроизводное наречие, в NPIV – как частица) очень, весьма.
trefo	карт.  трефы (масть).
trejni	vt тренировать (кого-л.);
tremi	vn дрожать, трепетать, трястись, содрогаться.
tremolo	бот.  осина.
trempi	vt окунуть, (об)макнуть, смочить.
treni	vt 1. тащить, волочь, волочить (тж. перен.); 2. тех. , мор.  буксировать;
treti	vt топтать, давить ногами, мять ногами, попирать (= piedpremi);
trezoro	1. прям. , перен.  сокровище;  сокровищница (собрание ценностей);  клад; 2. лингв. , лит.  тезаурус;
tri	num три.
tribo	1. ист. племя, колено, триба; 2. бот., зоол. триба;
tribunalo	суд, судебный орган, орган правосудия, трибунал.
tribuno	1. ист.  помост, возвышение (для оратора, судьи, жреца, епископа и т.п.);  2. разн.  трибуна.
tributo	прям., перен.  дань; подать.
trigonometrio	тригонометрия.
triki	vt вязать (спицами; на машине).
trikoto	1. см.  triksxtofo;  2. сомнит. , см.  trikajxo.
triliono	мат.  триллион (по системе с длинной шкалой = 10^18 = triiliono;  по принятой в России системе с короткой шкалой = 10^12  = duiliono);  прим. данное значение приводится согласно PIV;  в NPIV слово triliono является синонимом только слова triiliono .
trilo	муз.  трель.
trinki	vt пить;
tripo	1. внутренности, кишки (забитого животного);  потроха, требуха, субпродукты;  2. кул.  рубец (блюдо);
trista	печальный, грустный, безотрадный (= malgaja, malgxoja);
tritiko	бот., с.-х.  пшеница (тж. о зёрнах пшеницы  = tritikgrajnoj).
triumfo	триумф, торжество;
triviala	тривиальный, пошлый, заурядный, избитый, затасканный.
tro	(в PV и PIV трактуется как непроизводное наречие, в NPIV – как частица) 1. слишком, чрезмерно, чересчур; 2. слишком много (= tre multe);
trofeo	трофей.
trogo	1. корыто;  кормушка, поилка (в виде корыта или жёлоба);  2. тех. , спец.  корыто, лоток, ванна, ковш, черпак;
trolebuso	троллейбус;
troleo	эл.  троллей, контактный ролик, (верхний) токоприёмник, (верхний) токосъёмник.
trombo	1. мет.  тромб, (столбовидный) вихрь, (столбовидный) смерч;  2. мед.  тромб;
trombono	муз.  тромбон.
trompi	vt обмануть, провести; облапошить, надуть.
trono	трон; престол (но не столик в алтаре!).
tropiko	тропик.
tropo	лит.  троп (слово или оборот в переносном значении  = vortfiguro).
troti	vn бежать (или  идти) рысью, рысцой (о животном); трусить (о животном; о человеке); семенить, идти мелкими шажками, быстро шагать, быстро идти (о человеке).
trotuaro	тротуар, уличная панель.
trovi	vt найти, отыскать, разыскать, сыскать;
trudi	vt навязать, навязывать.
trufo	бот.  трюфель (гриб).
trulo	1. лопатка (каменщика), мастерок;  2. лопатка (для помешивания или переворачивания приготовляемой пищи);
trumpeto	муз.  труба;  фанфара;
trunko	1. ствол (дерева);  2. туловище (человека, животного);  стан (человека);  3. анат.  ствол;  4. геом.  усечённая фигура, усечённое геометрическое тело; 5. мор.  (якорное) веретено;  6.: ~o de kolono редк. , см.  fusto .1;  7. сомнит.  магистраль, основной участок, главный участок (линии, трубопровода и т.п.);
truo	1. дыра, дырка;  отверстие; 2. нора;  3. спорт.  лунка;
trupo	1. театр.  труппа;  2. воен.  отряд, часть;
trusto	эк.  трест.
truto	ихт. кумжа, лосось-таймень; форель;
tualeto	туалет (наряд, одежда;  приведение в порядок своего внешнего вида);
tuberkulo	мед.  туберкул, узелок, бугорок.
tubero	1. шишка, выпуклость, бугор, бугорок; 2. бот.  клубень; 3. анат.  бугор;
tubo	1. тех. , анат. , бот.  труба, трубка; 2. тюбик;  спец.  туба; 3. ствол (оружия  = paftubo);  4. эл. , рад.  лампа (вакуумная);  электроваккумный прибор;  трубка;
tufo	прядь (волос), чуб, вихор;  хохол, хохолок;  клок (торчащий, растущий);
tuj	adv 1. тотчас, сразу (же), сейчас же, немедленно, с ходу, тут же (о времени). 2. как раз, сразу (же), тут же (о месте).
tukano	1. орн. тукан, перцеяд, перцеед; 2. maj; астр. Тукан (созвездие).
tuko	платок, плат (в широком смысле – любой четырёхугольный кусок материи для каких-л. нужд).
tulipo	бот.  тюльпан.
tulo	Σ! 1¶  текс.  тюль.  2¶ maj. Тула (город).
tumoro	мед.  опухоль, новообразование.
tumulo	курган, могильный холм;
tumulto	суматоха, сутолока, сумятица; толчея, толкотня, толкучка, давка; круговерть, круговорот (людской); смятение, возбуждение, волнение (в толпе, в народе).
tunelo	туннель, тоннель.
tuniko	1. туника;  2. бот. , зоол.  туника, оболочка;  3. китель, френч;
tuno	тонна;
turbano	тюрбан, чалма.
turbino	тех.  турбина.
turbo	1. волчок, юла;  кубарь;  2. физ.  вращающееся вокруг своей оси тело;  3. тех.  турбинка, турбинный резак;
turdo	орн.  дрозд.
turismo	туризм.
turisto	турист.
turkiso	мин.  бирюза.
turko	турок;
turmenti	vt мучить, терзать;  истязать;
turni	vt 1. повернуть;  поворачивать, крутить, вертеть, вращать; 2. (en ion) обратить, превратить, преобразовать (во что-л.); 3. снимать на киноплёнку, снимать кинокамерой;
turniro	турнир.
turo	Σ! 1¶  1. башня;  вышка;  2. спорт.  вышка;  3. шахм.  ладья.  2¶  гп.maj.  Тур.
turto	орн. горлица обыкновенная;
tusi	vn кашлять.
tusxi	vt 1. трогать, касаться, потрогать, дотронуться, (при)коснуться;  2. тронуть, трогать (посягнуть, поднять руку на кого-л. или что-л.);  3. затронуть, затрагивать, коснуться, касаться (обсуждать что-л.;  иметь касательство к чему-л. или кому-л.);  4. (рас)трогать (взволновать);
tuta	весь, целый;
uhu	interj ау! (подзывание издалека, перекликание);
ukazo	указ (о постановлении руководящих органов в дореволюционной или современной России и в СССР; тж. перен. о произвольном, волюнтаристском приказе или декрете).
ulano	улан.
ulcero	мед.  язва.
ulmo	бот.  вяз, берест.
ulno	1. анат.  локтевая кость (= редк.  kubutosto);  2. локоть (старинная мера длины);
ultimato	ультиматум.
ultra-	приставка ультра-, в научной терминологии обозначающая высшую степень чего-л.
ululi	vn выть, завывать (о волке; тж. об аналогичном звуке сирены, динамика и т.п.); ухать (о филине);
umbiliko	1. анат.  пуп, пупок;  2. перен.  пуп, центр;  3. см.  hilumo;  4. бот.  умбиликус (растение);
unco	унция (мера веса).
ungo	ноготь; коготь.
uniformo	мундир, военная одежда, форменная одежда, (уни)форма; обмундирование (одежда).
unika	уникальный, единственный в своём роде, неповторимый.
unio	1. пол. союз (государственный); уния; 2. союз (организация);
unisono	муз.  унисон.
universala	универсальный, всемирный, всеобщий, всеобъемлющий.
universitato	университет.
universo	вселенная; филос., мат.  универсум.
unu	num один;
uragano	мет.  ураган (тж. перен.).
urbo	город.
urgxi	1. vt (по)торопить, подгонять, понукать, заставлять (по)торопиться, заставлять (по)спешить; 2. vn оч.сомнит.  быть неотложным(и), безотлагательным(и), срочным(и), спешным(и) (= esti urgxa(j));
urino	моча; спец.  урина.
urno	1. урна (но не мусорная!); 2. см.  kapsulo .6.
